ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,1279.95727539063,1404.89978027344,1542.16394042969,1690.86108398438,1855.59619140625,2033.5517578125,2225.21826171875,2438.01879882813,2668.08471679688,2922.90673828125,3199.791015625,3507.7744140625,3840.59301757813,4189.53662109375,4577.12353515625,5013.7060546875,5484.23681640625,6042.62646484375,6729.98583984375,7511.79833984375,8254.263671875,9029.81640625,9898.6923828125,10831.6376953125,11853.318359375,12915.638671875,13857.271484375,14993.0908203125,16366.9599609375,17673.70703125,18541.3203125,19442.369140625,20575.248046875,21982.357421875,23548.9375,25524.708984375,27580.51953125,29504.23828125,31460.490234375,32883.515625,33989.49609375,34865.96484375,31570.458984375,29895.3359375,27070.685546875,24339.126953125,21043.9921875,18997.287109375,21126.40234375,20307.86328125,21618.939453125,22440.20703125,22781.564453125,22741.716796875
AGO,Angola,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,84761.9453125,93722.4609375,102340.234375,111563.9296875,121023.6484375,129294.671875,136347.546875,143917.375,150128.3125,156396.3125,161762.734375,167668.875,174711.203125,179194.328125,184452.234375,187845.375,190425.8125,193003.734375,194743.25,195130.453125,194326.390625,198953.765625,195770.15625,229486.5625,241486.140625,255894.1875,281528.71875,297164.25,324158.9375,341980.25,342764,347008.8125,355636.875,365307.625,379006.6875,395104.65625,424624.28125,486195.5,591046.4375,742652.75,919790.75,1078727.875,1170629.875,1190952.875,1310791,1308671.75,1275201.875,1534771.125,1268128.625,1174152.875,833200.75,683729.4375,696243,703745.125
AIA,Anguilla,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,382.646392822266,414.614013671875,451.7998046875,490.379516601563,528.558959960938,566.950744628906,605.515808105469,645.291137695313,688.183471679688,736.88818359375,786.19189453125,839.210021972656,891.142395019531,935.665161132813,978.60009765625,1028.9677734375,1110.21850585938,1212.44262695313,1284.50415039063,1372.21704101563,1477.38732910156,1530.1337890625,1621.7890625,1693.00317382813,1767.02294921875,1845.01831054688,1934.35498046875,2020.26220703125,2171.11791992188,2367.9345703125,2545.48876953125,2664.833984375,2731.83056640625,2814.72241210938,2970.38305664063,3173.2607421875,3450.09716796875,3877.55224609375,4347.2646484375,4452.60888671875,4479.83984375,4443.7158203125,4013.65649414063,3624.19409179688,3348.1416015625,3065.72143554688,2877.06469726563,2415.42431640625,2865.67260742188,3364.373046875,3547.96264648438,3975.53491210938,4090.87573242188,4200.48291015625
ALB,Albania,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,22711.802734375,24193.52734375,25761.890625,27382.001953125,29102.287109375,30842.578125,32646.654296875,34582.18359375,36534.0703125,38705.40234375,40822.16015625,43046.01953125,45661.03515625,48037.66796875,50535.4140625,52800.796875,55105.890625,57438.73828125,59729.65625,62343.33203125,64706.3125,63212.4375,61922.99609375,61731.2578125,62386.1015625,63472.5546875,64788.12890625,64764.640625,64388.2734375,62579.734375,62967.5234375,63359.3046875,64448.82421875,66732.65625,70379.734375,75910.8125,97320.7265625,106958.34375,119917.5078125,134152.75,150299.1875,164769.515625,168428.03125,171346.3125,206277.40625,203614.4375,211923.6875,211866.796875,220434.625,231582.15625,235767.40625,242758.09375,253158.3125,262863
ARE,United Arab Emirates,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,337428,351440.59375,372920.5625,387304.78125,397184.4375,439097,490189.375,563592.625,650461.75,737179,817668.25,892220.9375,963754.4375,1031795.5,1097081,1149094.375,1196319.625,1231582.5,1267929,1308119.125,1343804.75,1381384.5,1438096.75,1470749.25,1507605,1547952.625,1592810.875,1643482.125,1702583.5,1757763.625,1812872,1872792.75,1940318,2020494.25,2103580.75,2201865.25,2311529.75,2487315.5,2659162.25,2841829.75,2982317.25,3111479.5,2907521.75,2828598.75,4135656.75,4267525,4423458.5,4332636,4057753.25,4294786.5,5296067.5,5493170,5720709.5,5953913.5
ARG,Argentina,cn,Capital stock at current PPPs (in mil. 2021US$),62541.8984375,68654.9453125,73443.4140625,78126.828125,82708.859375,87915.890625,92227.296875,95449.0390625,101316.9765625,104813.0703125,112766.4140625,121368.71875,127703.4609375,131694.5,138274.78125,144819.625,150639.921875,156569.328125,163418.84375,173333.203125,183773.140625,195234.65625,205327.703125,214200.3125,224138.609375,234093.859375,241908,255841.328125,266685.28125,280605.78125,294758.84375,306053.4375,318989.03125,336038.8125,359397,388121.75,427338.5,481403.21875,550591.8125,634548.5,735458.1875,873050.4375,1069558.375,1327150.875,1628476.625,1900891.875,2054893.5,2110391.75,2143079.75,2125951,2079513.125,2021629.375,1910502.875,1887050,1902409.875,1952913.25,2052343.375,2238584.5,2500285.75,2750466.5,3031695.75,3284094,3362780.25,3398672.5,3444320.25,3512942.25,3481090.5,3665912.75,3878835.75,4035455,4382449.5,4714402.5,4855723,4962359.5
ARM,Armenia,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60618.1015625,62706.68359375,62145.375,61313.8046875,61246.546875,60888.79296875,60854.96875,60121.41796875,58751.57421875,56498.68359375,54015.55859375,51636.56640625,50118.265625,49435.359375,49453.15625,50712.34765625,52702.06640625,54707.4375,57012.3515625,57585.625,58516.05859375,59808.4296875,67702.9375,91203.25,88260.9609375,93613.265625,95791.75,99837.7734375,129905.4375,164010.59375,201069.03125,239942.453125,248957.296875,257531.15625
ATG,Antigua and Barbuda,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,461.597442626953,483.545349121094,504.358703613281,522.603271484375,544.098937988281,564.702941894531,578.0556640625,576.434631347656,573.1865234375,606.297729492188,631.134094238281,659.638549804688,664.197265625,669.652587890625,682.348937988281,705.178405761719,747.070007324219,812.29248046875,887.890014648438,973.872985839844,1047.25390625,1114.20849609375,1172.87866210938,1222.9345703125,1275.16979980469,1341.16931152344,1420.47595214844,1505.57397460938,1632.23754882813,1815.94323730469,2048.26611328125,2219.72436523438,2457.22216796875,2775.88305664063,3217.076171875,3890.93920898438,5010.67626953125,6539.9794921875,8573.5615234375,11006.880859375,13079.4443359375,14020.0576171875,13297.3095703125,12766.2646484375,12221.6533203125,11706.568359375,12643.11328125,14248.64453125,11961.609375,16001.7060546875,18591,18469.47265625,19635.43359375,20604.27734375
AUS,Australia,cn,Capital stock at current PPPs (in mil. 2021US$),474967.53125,510098.03125,520847.25,540619.9375,568088.5625,596411.875,616186.3125,635874.25,663181.8125,693266.8125,719208.25,736212.625,763174.375,796409.4375,839476.5625,875363.3125,912683.875,954724.8125,1000830.0625,1057249.75,1110067.125,1159743.25,1211399.875,1265153.5,1297260.75,1328073,1368570.625,1412893.75,1465669.25,1525135.5,1583794.5,1653047.625,1701451.5,1750329.5,1810234.125,1871099.25,1934461,2019412.125,2131175.25,2256491.5,2371086.25,2500417,2661455.25,2844888.75,3042447,3210251.5,3333993,3429903.5,3533061.75,3644105.25,3613278.75,3595864,3592019.25,3764196,3952628,4163487.5,4306629,4444956,4559504,4645361,4744773.5,4874187,5197899.5,6838111,6976320,6631231.5,6798418.5,6561996.5,6776144.5,7240472,7483181.5,7691365.5,7907751.5,8094737
AUT,Austria,cn,Capital stock at current PPPs (in mil. 2021US$),133347.71875,140334.640625,143628.234375,144183.671875,147503.3125,155096.453125,160844.515625,167068.640625,172822.375,178763.046875,189012.359375,199678.75,208534.5625,217037.875,229193.6875,239560.21875,253954.703125,266964.65625,279716.59375,294814.34375,312883.09375,335160.375,358802.34375,382761.28125,405469.71875,425730.09375,444094,461853.21875,474304.59375,490827.21875,511422.625,545402.9375,594232.9375,659004.8125,731546,788522.75,826193.4375,870371.0625,923663.5,986070.125,1054967.75,1131376.125,1207869,1278321,1343209.75,1391414.375,1427129.25,1414872.75,1393609.25,1362055.125,1358292.125,1314276.25,1275666,1301185.375,1333674.25,1357166.125,1474198,1581906.625,1742589.25,1932890.875,2037605.75,2186019,2321276.5,2509405,2566180,2748437,2798657.25,2891243,3018957.25,3128627.25,3189829,3146882,3212486.75,3247967
